Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Rarity,Price,match_name,match_edition,sellPrice,_merge,Reconstructed Tradelist Count,Trader Tools Sell Price,Reconstructed My Price,Reconciliation Status,Exception Reason
6,0,Orcish Spy,Fallen Empires,124,Near Mint,English,,,,,,,,,Common,$0.14,orcish spy,fallen empires,,left_only,6,,,Exception,Card name absent from Trader Tools
6,0,Orcish Spy,Fallen Empires,125,Near Mint,English,,,,,,,,,Common,$0.17,orcish spy,fallen empires,,left_only,6,,,Exception,Card name absent from Trader Tools
6,0,Orcish Spy,Fallen Empires,126,Near Mint,English,,,,,,,,,Common,$0.17,orcish spy,fallen empires,,left_only,6,,,Exception,Card name absent from Trader Tools
7,0,Order // Chaos,Apocalypse,132,Near Mint,English,,,,,,,,,Uncommon,$0.20,order // chaos,apocalypse,,left_only,7,,,Exception,Split card absent from Trader Tools
2,0,Pain // Suffering,Invasion,294,Near Mint,English,,,,,,,,,Uncommon,$0.20,pain // suffering,invasion,,left_only,2,,,Exception,Split card absent from Trader Tools
1,0,Plains,Mercadian Masques,334,Near Mint,English,,,,,,,,,BasicLand,$0.21,plains,mercadian masques,,left_only,1,,,Exception,"Name and edition exist, but pair does not match"
1,0,Plains,Invasion,332,Near Mint,English,,,,,,,,,BasicLand,$0.27,plains,invasion,,left_only,1,,,Exception,"Name and edition exist, but pair does not match"
1,0,Plains,Invasion,334,Near Mint,English,,,,,,,,,BasicLand,$0.28,plains,invasion,,left_only,1,,,Exception,"Name and edition exist, but pair does not match"
39,8,Ready // Willing,Dragon's Maze,132,Near Mint,English,,,,,,,,0.0,Rare,$0.26,ready // willing,dragon's maze,,left_only,8,,,Exception,Split card absent from Trader Tools
11,8,Sanguine Bond,Magic 2014 Core Set,112,Near Mint,English,,,,,,,,0.0,Rare,$2.61,sanguine bond,magic 2014 core set,,left_only,8,,,Exception,Card name absent from Trader Tools
4,0,Sewers of Estark,Media Inserts,2,Near Mint,English,,,,,,,,,Special,$0.65,sewers of estark,media inserts,,left_only,4,,,Exception,Name and edition absent from Trader Tools
6,6,Shivan Dragon,Magic Origins,285,Near Mint,English,,,,,,,,0.0,Rare,$0.49,shivan dragon,magic origins,,left_only,6,,,Exception,"Name and edition exist, but pair does not match"
4,0,Spite // Malice,Invasion,293,Near Mint,English,,,,,,,,,Uncommon,$0.20,spite // malice,invasion,,left_only,4,,,Exception,Split card absent from Trader Tools
3,0,Stand // Deliver,Invasion,292,Near Mint,English,,,,,,,,,Uncommon,$0.21,stand // deliver,invasion,,left_only,3,,,Exception,Split card absent from Trader Tools
1,0,Swamp Mosquito,Alliances,30,Near Mint,English,,,,,,,,,Common,$0.17,swamp mosquito,alliances,,left_only,1,,,Exception,Card name absent from Trader Tools
1,0,Swamp Mosquito,Alliances,31,Near Mint,English,,,,,,,,,Common,$0.18,swamp mosquito,alliances,,left_only,1,,,Exception,Card name absent from Trader Tools
8,8,Terra Stomper,Magic Origins,288,Near Mint,English,,,,,,,,0.0,Rare,$0.72,terra stomper,magic origins,,left_only,8,,,Exception,"Name and edition exist, but pair does not match"
6,0,Thallid,Fallen Empires,87,Near Mint,English,,,,,,,,,Common,$0.19,thallid,fallen empires,,left_only,6,,,Exception,Card name absent from Trader Tools
6,0,Thallid,Fallen Empires,88,Near Mint,English,,,,,,,,,Common,$0.19,thallid,fallen empires,,left_only,6,,,Exception,Card name absent from Trader Tools
7,0,Thallid,Fallen Empires,89,Near Mint,English,,,,,,,,,Common,$0.15,thallid,fallen empires,,left_only,7,,,Exception,Card name absent from Trader Tools
5,0,Thallid,Fallen Empires,90,Near Mint,English,,,,,,,,,Common,$0.19,thallid,fallen empires,,left_only,5,,,Exception,Card name absent from Trader Tools
3,3,True-Name Nemesis,Commander 2013,63,Near Mint,English,,,,,,,,1325.0,Rare,$13.14,true-name nemesis,commander 2013,,left_only,3,,,Exception,Edition absent from Trader Tools
1,0,Urza's Mine,Chronicles,94,Near Mint,English,,,,,,,,,Uncommon,$1.81,urza's mine,chronicles,,left_only,1,,,Exception,Card name absent from Trader Tools
1,0,Urza's Mine,Chronicles,95,Near Mint,English,,,,,,,,,Uncommon,$0.25,urza's mine,chronicles,,left_only,1,,,Exception,Card name absent from Trader Tools
1,0,Urza's Mine,Antiquities,75,Good (Lightly Played),English,,,,,,,,,Common,$1.81,urza's mine,antiquities,,left_only,1,,,Exception,Card name absent from Trader Tools
1,0,Urza's Mine,Antiquities,76,Good (Lightly Played),English,,,,,,,,,Uncommon,$1.00,urza's mine,antiquities,,left_only,1,,,Exception,Card name absent from Trader Tools
1,0,Urza's Mine,Antiquities,77,Near Mint,English,,,,,,,,,Common,$1.70,urza's mine,antiquities,,left_only,1,,,Exception,Card name absent from Trader Tools
1,0,Urza's Mine,Antiquities,78,Good (Lightly Played),English,,,,,,,,,Uncommon,$3.21,urza's mine,antiquities,,left_only,1,,,Exception,Card name absent from Trader Tools
1,0,Urza's Power Plant,Chronicles,100,Near Mint,English,,,,,,,,,Uncommon,$0.72,urza's power plant,chronicles,,left_only,1,,,Exception,Card name absent from Trader Tools
1,0,Urza's Power Plant,Antiquities,79,Played,English,,,,,,,,,Common,$0.96,urza's power plant,antiquities,,left_only,1,,,Exception,Card name absent from Trader Tools
1,0,Urza's Power Plant,Antiquities,80,Good (Lightly Played),English,,,,,,,,,Common,$3.14,urza's power plant,antiquities,,left_only,1,,,Exception,Card name absent from Trader Tools
1,0,Urza's Power Plant,Antiquities,81,Played,English,,,,,,,,,Uncommon,$0.50,urza's power plant,antiquities,,left_only,1,,,Exception,Card name absent from Trader Tools
1,0,Urza's Power Plant,Antiquities,82,Played,English,,,,,,,,,Uncommon,$2.45,urza's power plant,antiquities,,left_only,1,,,Exception,Card name absent from Trader Tools
1,0,Urza's Tower,Antiquities,83,Played,English,,,,,,,,,Uncommon,$3.50,urza's tower,antiquities,,left_only,1,,,Exception,Card name absent from Trader Tools
2,0,Urza's Tower,Antiquities,84,Good (Lightly Played),English,,,,,,,,,Uncommon,$2.40,urza's tower,antiquities,,left_only,2,,,Exception,Card name absent from Trader Tools
1,0,Urza's Tower,Antiquities,85,Played,English,,,,,,,,,Common,$0.68,urza's tower,antiquities,,left_only,1,,,Exception,Card name absent from Trader Tools
1,0,Urza's Tower,Antiquities,86,Played,English,,,,,,,,,Uncommon,$1.00,urza's tower,antiquities,,left_only,1,,,Exception,Card name absent from Trader Tools
5,0,Vodalian Soldiers,Fallen Empires,62,Near Mint,English,,,,,,,,,Common,$0.14,vodalian soldiers,fallen empires,,left_only,5,,,Exception,"Name and edition exist, but pair does not match"
6,0,Vodalian Soldiers,Fallen Empires,63,Near Mint,English,,,,,,,,,Common,$0.16,vodalian soldiers,fallen empires,,left_only,6,,,Exception,"Name and edition exist, but pair does not match"
7,0,Vodalian Soldiers,Fallen Empires,64,Near Mint,English,,,,,,,,,Common,$0.16,vodalian soldiers,fallen empires,,left_only,7,,,Exception,"Name and edition exist, but pair does not match"
6,0,Vodalian Soldiers,Fallen Empires,65,Near Mint,English,,,,,,,,,Common,$0.16,vodalian soldiers,fallen empires,,left_only,6,,,Exception,"Name and edition exist, but pair does not match"
1,0,Wax // Wane,Invasion,296,Near Mint,English,,,,,,,,,Uncommon,$0.20,wax // wane,invasion,,left_only,1,,,Exception,Split card absent from Trader Tools
4,4,Wear // Tear,Dragon's Maze,135,Near Mint,English,,,,,,,,0.0,Uncommon,$1.03,wear // tear,dragon's maze,,left_only,4,,,Exception,Split card absent from Trader Tools
8,8,Wild Ricochet,Magic 2014 Core Set,162,Near Mint,English,,,,,,,,0.0,Rare,$0.33,wild ricochet,magic 2014 core set,,left_only,8,,,Exception,Card name absent from Trader Tools
