Name,Edition,Count,Condition,Rarity,Buy List Amount,Retail Amount,#N/A,#N/A,,Trade In:,#N/A
Advent of the Wurm,Dragon's Maze,24,Near Mint,Rare,$.050,$0.75,$1.200,$18.00,,,
Adventurers' Guildhouse,Legends,1,Near Mint,Uncommon,$.003,$0.85,$.003,$0.85,,,
Aegis Angel,Magic 2012,4,Near Mint,Rare,$.050,$0.65,$.200,$2.60,,,
Aegis Angel,Magic 2015 Core Set,7,Near Mint,Rare,$.050,$0.45,$.350,$3.15,,,
Aegis Angel,Magic Origins,9,Near Mint,Rare,$.050,$0.55,$.450,$4.95,,,
Aegis of the Gods,Journey into Nyx,11,Near Mint,Rare,$.100,$1.00,$1.100,$11.00,,,
Aeolipile,Fallen Empires,2,Near Mint,Rare,$.050,$0.45,$.100,$0.90,,,
Aerathi Berserker,Legends,2,Near Mint,Uncommon,$.003,$0.35,$.006,$0.70,,,
Aether Barrier,Nemesis,2,Near Mint,Rare,$.050,$0.30,$.100,$0.60,,,
Aether Mutation,Apocalypse,7,Near Mint,Uncommon,$.003,$0.15,$.021,$1.05,,,
Aether Tide,Exodus,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Aetherling,Dragon's Maze,33,Near Mint,Rare,$.050,$0.65,$1.650,$21.45,,,
Aetherspouts,Magic 2015 Core Set,28,Near Mint,Rare,$.050,$0.55,$1.400,$15.40,,,
Afterlife,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Afterlife,Mirage,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Agent of Shauku,Prophecy,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Agent of the Fates,Theros,50,Near Mint,Rare,$.050,$0.30,$2.500,$15.00,,,
Aggressive Mining,Magic 2015 Core Set,9,Near Mint,Rare,$.050,$0.30,$.450,$2.70,,,
Aggressive Urge,Invasion,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Agonizing Demise,Invasion,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Agonizing Memories,Weatherlight,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Air Bladder,Nemesis,13,Near Mint,Common,$.003,$0.10,$.039,$1.30,,,
Air Elemental,Revised Edition,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Aisling Leprechaun,Legends,1,Near Mint,Common,$.003,$0.25,$.003,$0.25,,,
"Ajani, Caller of the Pride",Magic 2013,4,Near Mint,Rare,$2.750,$5.25,$11.000,$21.00,,,
"Ajani, Mentor of Heroes",Journey into Nyx,4,Near Mint,MythicRare,$6.250,$12.50,$25.000,$50.00,,,
Ajani's Chosen,Magic 2014 Core Set,13,Near Mint,MythicRare,$.250,$0.30,$3.250,$3.90,,,
Akoum Firebird,Battle for Zendikar,36,Near Mint,MythicRare,$.250,$0.99,$9.000,$35.64,,,
Akoum Hellkite,Battle for Zendikar,35,Near Mint,Rare,$.050,$0.30,$1.750,$10.50,,,
Akroan Horse,Theros,40,Near Mint,Rare,$.050,$0.15,$2.000,$6.00,,,
Alabaster Potion,Legends,1,Good (Lightly Played),Common,$.003,$0.15,$.003,$0.15,,,
Alabaster Potion,Fourth Edition,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Alabaster Wall,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Aladdin's Lamp,Revised Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Albino Troll,Urza's Saga,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Alchemist's Refuge,Avacyn Restored,4,Near Mint,Rare,$.050,$0.90,$.200,$3.60,,,
Alchor's Tomb,Legends,1,Good (Lightly Played),Rare,$.750,$2.54,$.750,$2.54,,,
Aleatory,Mirage,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
"Alesha, Who Smiles at Death",Fate Reforged,36,Near Mint,Rare,$.050,$0.30,$1.800,$10.80,,,
"Alexi, Zephyr Mage",Prophecy,1,Near Mint,Common,$.003,$0.45,$.003,$0.45,,,
Alexi's Cloak,Prophecy,4,Near Mint,Rare,$.050,$0.15,$.200,$0.60,,,
"Alhammarret, High Arbiter",Magic Origins,33,Near Mint,MythicRare,$.250,$0.30,$8.250,$9.90,,,
Alhammarret's Archive,Magic Origins,1,Near Mint,Rare,$1.000,$4.00,$1.000,$4.00,,,
Aligned Hedron Network,Battle for Zendikar,64,Near Mint,Rare,$.050,$0.30,$3.200,$19.20,,,
Allay,Exodus,3,Near Mint,Common,$.003,$0.15,$.009,$0.45,,,
Alley Grifters,Mercadian Masques,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Allied Strategies,Planeshift,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Ally Encampment,Battle for Zendikar,64,Near Mint,Rare,$.050,$0.90,$3.200,$57.60,,,
Alms Beast,Gatecrash,37,Near Mint,Rare,$.050,$0.30,$1.850,$11.10,,,
Alpha Brawl,Dark Ascension,30,Near Mint,Rare,$.050,$0.30,$1.500,$9.00,,,
Alpha Kavu,Planeshift,3,Near Mint,Uncommon,$.003,$0.15,$.009,$0.45,,,
Altar of the Brood,Khans of Tarkir,9,Near Mint,Rare,$.050,$0.45,$.450,$4.05,,,
Altered Ego,Shadows over Innistrad,31,Near Mint,Rare,$.050,$0.30,$1.550,$9.30,,,
Aluren,Tempest,3,Near Mint,Rare,$7.500,$14.75,$22.500,$44.25,,,
Always Watching,Shadows over Innistrad,30,Near Mint,Rare,$.500,$2.00,$15.000,$60.00,,,
Ambush Party,Homelands,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Amnesia,The Dark,1,Good (Lightly Played),Uncommon,$.003,$0.50,$.003,$0.50,,,
Amnesia,The Dark,1,Near Mint,Uncommon,$.003,$0.50,$.003,$0.50,,,
Amphibious Kavu,Planeshift,5,Near Mint,Common,$.003,$0.10,$.015,$0.50,,,
Amrou Kithkin,Fourth Edition,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Amrou Kithkin,Legends,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Amulet of Kroog,Antiquities,1,Played,Common,$.003,$0.15,$.003,$0.15,,,
Amulet of Unmaking,Mirage,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
An-Havva Township,Homelands,4,Near Mint,Uncommon,$.003,$0.15,$.012,$0.60,,,
Ana Disciple,Apocalypse,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Ana Sanctuary,Apocalypse,7,Near Mint,Uncommon,$.003,$0.15,$.021,$1.05,,,
Anaba Bodyguard,Classic Sixth Edition,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Anaba Shaman,Classic Sixth Edition,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Anaba Shaman,Homelands,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
"Anafenza, Kin-Tree Spirit",Dragons of Tarkir,31,Near Mint,Rare,$.500,$2.00,$15.500,$62.00,,,
"Anafenza, the Foremost",Khans of Tarkir,44,Near Mint,MythicRare,$.250,$1.75,$11.000,$77.00,,,
Anarchist,Exodus,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Anax and Cymede,Theros,30,Near Mint,Rare,$.050,$0.30,$1.500,$9.00,,,
Ancestral Mask,Mercadian Masques,4,Near Mint,Common,$.003,$0.40,$.012,$1.60,,,
Ancestral Vision,Duel Decks: Jace vs. Chandra,1,Near Mint,Rare,$32.500,$54.34,$32.500,$54.34,,,
Ancient Hydra,Nemesis,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Ancient Kavu,Invasion,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Ancient Spider,Planeshift,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Ancient Spring,Invasion,8,Near Mint,Common,$.003,$0.15,$.024,$1.20,,,
Angel of Deliverance,Shadows over Innistrad,14,Near Mint,Rare,$.050,$0.30,$.700,$4.20,,,
Angel of Flight Alabaster,Innistrad,44,Near Mint,Rare,$.050,$0.30,$2.200,$13.20,,,
Angel of Glory's Rise,Avacyn Restored,28,Near Mint,Rare,$.050,$0.30,$1.400,$8.40,,,
Angel of Mercy,Invasion,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Angel of Serenity,Return to Ravnica,15,Near Mint,MythicRare,$.250,$1.25,$3.750,$18.75,,,
Angel's Trumpet,Urza's Legacy,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Angelfire Crusader,Apocalypse,5,Near Mint,Common,$.003,$0.10,$.015,$0.50,,,
Angelic Captain,Battle for Zendikar,44,Near Mint,Rare,$.050,$0.30,$2.200,$13.20,,,
Angelic Curator,Urza's Legacy,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Angelic Favor,Nemesis,4,Near Mint,Uncommon,$.003,$0.15,$.012,$0.60,,,
Angelic Overseer,Innistrad,1,Near Mint,MythicRare,$.500,$2.25,$.500,$2.25,,,
Angelic Page,Urza's Saga,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Angelic Skirmisher,Gatecrash,8,Near Mint,Rare,$.050,$0.65,$.400,$5.20,,,
Anger of the Gods,Theros,32,Near Mint,Rare,$.500,$2.25,$16.000,$72.00,,,
Angry Mob,The Dark,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Anguished Unmaking,Shadows over Innistrad,17,Near Mint,Rare,$.100,$1.75,$1.700,$29.75,,,
"Animar, Soul of Elements",Commander,1,Near Mint,MythicRare,$14.500,$24.00,$14.500,$24.00,,,
Animate Artifact,Revised Edition,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Animate Dead,Revised Edition,3,Near Mint,Uncommon,$.250,$1.25,$.750,$3.75,,,
Animate Land,Nemesis,4,Near Mint,Uncommon,$.003,$0.15,$.012,$0.60,,,
Animist's Awakening,Magic Origins,34,Near Mint,Rare,$.050,$0.90,$1.700,$30.60,,,
Ankh of Mishra,Classic Sixth Edition,1,Near Mint,Rare,$.050,$0.75,$.050,$0.75,,,
Ankh of Mishra,Revised Edition,4,Near Mint,Rare,$.050,$0.55,$.200,$2.20,,,
Ankle Shanker,Khans of Tarkir,35,Near Mint,Rare,$.050,$0.30,$1.750,$10.50,,,
Annihilate,Invasion,3,Near Mint,Uncommon,$.003,$0.15,$.009,$0.45,,,
Annul,Urza's Saga,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
"Anthousa, Setessan Hero",Theros,56,Near Mint,Rare,$.050,$0.15,$2.800,$8.40,,,
Anti-Magic Aura,Legends,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Apathy,Weatherlight,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Apprentice Necromancer,Urza's Destiny,1,Near Mint,Rare,$.100,$1.50,$.100,$1.50,,,
Apprentice Wizard,The Dark,1,Near Mint,Common,$.003,$0.93,$.003,$0.93,,,
Apprentice Wizard,Fourth Edition,1,Good (Lightly Played),Rare,$.050,$0.15,$.050,$0.15,,,
Arachnus Spinner,Magic 2012,8,Near Mint,Rare,$.050,$0.30,$.400,$2.40,,,
Arashin Foremost,Dragons of Tarkir,27,Near Mint,Rare,$.050,$0.65,$1.350,$17.55,,,
Arashin Sovereign,Dragons of Tarkir,28,Near Mint,Rare,$.050,$0.30,$1.400,$8.40,,,
Arbiter of the Ideal,Born of the Gods,19,Near Mint,Rare,$.050,$0.30,$.950,$5.70,,,
Arbor Colossus,Theros,47,Near Mint,Rare,$.050,$0.30,$2.350,$14.10,,,
Arboria,Legends,2,Good (Lightly Played),Uncommon,$4.500,$9.02,$9.000,$18.04,,,
Arc Lightning,Urza's Saga,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Arc Mage,Nemesis,5,Near Mint,Uncommon,$.003,$0.15,$.015,$0.75,,,
Arcane Melee,Avacyn Restored,38,Near Mint,Rare,$.050,$0.30,$1.900,$11.40,,,
Arcbond,Fate Reforged,33,Near Mint,Rare,$.050,$0.30,$1.650,$9.90,,,
Arcbound Ravager,Darksteel,2,Good (Lightly Played),Rare,$24.500,$40.70,$49.000,$81.40,,,
Archaeological Dig,Invasion,5,Near Mint,Uncommon,$.003,$0.25,$.015,$1.25,,,
Archangel Avacyn,Shadows over Innistrad,2,Near Mint,MythicRare,$12.500,$20.75,$25.000,$41.50,,,
Archangel of Thune,Magic 2014 Core Set,1,Near Mint,MythicRare,$13.750,$22.75,$13.750,$22.75,,,
Archangel of Tithes,Magic Origins,7,Near Mint,MythicRare,$2.500,$5.00,$17.500,$35.00,,,
Archangel's Light,Dark Ascension,13,Near Mint,MythicRare,$.250,$0.99,$3.250,$12.87,,,
Archfiend of Depravity,Fate Reforged,23,Near Mint,Rare,$.050,$0.55,$1.150,$12.65,,,
Archon of Justice,Magic 2012,9,Near Mint,Rare,$.050,$0.30,$.450,$2.70,,,
Archon of the Triumvirate,Return to Ravnica,76,Near Mint,Rare,$.050,$0.30,$3.800,$22.80,,,
Archwing Dragon,Avacyn Restored,32,Near Mint,Rare,$.050,$0.45,$1.600,$14.40,,,
Arctic Foxes,Ice Age,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Arctic Merfolk,Planeshift,9,Near Mint,Common,$.003,$0.10,$.027,$0.90,,,
Arcum's Sleigh,Ice Age,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Arcum's Whistle,Ice Age,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Ardent Soldier,Invasion,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Arena,Media Inserts,4,Near Mint,Special,$.250,$0.00,$1.000,$0.00,,,
Arena of the Ancients,Legends,1,Good (Lightly Played),Rare,$1.000,$4.39,$1.000,$4.39,,,
Argent Sphinx,Scars of Mirrodin,10,Near Mint,Rare,$.050,$0.30,$.500,$3.00,,,
Argivian Archaeologist,Antiquities,1,Near Mint,Rare,$9.500,$18.75,$9.500,$18.75,,,
Argivian Blacksmith,Antiquities,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Argothian Pixies,Antiquities,1,Played,Common,$.003,$0.15,$.003,$0.15,,,
Argothian Swine,Urza's Saga,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Argothian Treefolk,Antiquities,1,Played,Common,$.003,$0.15,$.003,$0.15,,,
Argothian Treefolk,Antiquities,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Argothian Wurm,Urza's Saga,1,Near Mint,Rare,$.050,$0.75,$.050,$0.75,,,
Arlinn Kord,Shadows over Innistrad,8,Near Mint,MythicRare,$5.500,$11.00,$44.000,$88.00,,,
Armada Wurm,Return to Ravnica,23,Near Mint,MythicRare,$.250,$0.99,$5.750,$22.77,,,
Armadillo Cloak,Invasion,5,Near Mint,Common,$.003,$0.40,$.015,$2.00,,,
Armageddon Clock,Revised Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Armageddon Clock,Fourth Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Armor of Faith,Ice Age,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Armor of Thorns,Mirage,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Armor Thrull,Fallen Empires,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Armor Thrull,Fallen Empires,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Armor Thrull,Fallen Empires,5,Near Mint,Common,$.003,$0.15,$.015,$0.75,,,
Armor Thrull,Fallen Empires,7,Near Mint,Common,$.003,$0.10,$.021,$0.70,,,
Armored Pegasus,Classic Sixth Edition,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Armorer Guildmage,Mirage,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Arms Dealer,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Army Ants,Visions,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Army of the Damned,Innistrad,3,Near Mint,MythicRare,$.750,$2.50,$2.250,$7.50,,,
Arrest,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Artifact Blast,Antiquities,4,Near Mint,Common,$.003,$0.25,$.012,$1.00,,,
Artifact Mutation,Invasion,2,Near Mint,Rare,$.500,$2.00,$1.000,$4.00,,,
Artifact Possession,Antiquities,1,Good (Lightly Played),Common,$.003,$0.15,$.003,$0.15,,,
Artifact Possession,Antiquities,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Artifact Ward,Antiquities,1,Good (Lightly Played),Common,$.003,$0.15,$.003,$0.15,,,
Artifact Ward,Antiquities,3,Near Mint,Common,$.003,$0.15,$.009,$0.45,,,
Artisan of Forms,Theros,60,Near Mint,Rare,$.050,$0.30,$3.000,$18.00,,,
Ascendant Evincar,Nemesis,2,Near Mint,Rare,$.100,$1.00,$.200,$2.00,,,
Asceticism,Scars of Mirrodin,2,Near Mint,Rare,$4.750,$9.50,$9.500,$19.00,,,
Ash Zealot,Return to Ravnica,32,Near Mint,Rare,$.050,$0.65,$1.600,$20.80,,,
Ashcloud Phoenix,Khans of Tarkir,11,Near Mint,MythicRare,$.250,$0.99,$2.750,$10.89,,,
Ashen Ghoul,Ice Age,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Ashen Rider,Theros,27,Near Mint,MythicRare,$.250,$1.25,$6.750,$33.75,,,
Ashes to Ashes,The Dark,5,Near Mint,Common,$.003,$0.25,$.015,$1.25,,,
"Ashiok, Nightmare Weaver",Theros,1,Near Mint,MythicRare,$3.500,$7.00,$3.500,$7.00,,,
Ashnod's Altar,Antiquities,1,Good (Lightly Played),Uncommon,$5.500,$10.87,$5.500,$10.87,,,
Ashnod's Transmogrant,Antiquities,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Assault // Battery,Invasion,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Assault Formation,Dragons of Tarkir,27,Near Mint,Rare,$.100,$1.25,$2.700,$33.75,,,
Assemble the Legion,Gatecrash,16,Near Mint,Rare,$.100,$1.50,$1.600,$24.00,,,
Astral Cornucopia,Born of the Gods,24,Near Mint,Rare,$.050,$0.30,$1.200,$7.20,,,
Asylum Visitor,Shadows over Innistrad,9,Near Mint,Rare,$.100,$1.00,$.900,$9.00,,,
"Atalya, Samite Master",Invasion,1,Near Mint,Rare,$.050,$0.55,$.050,$0.55,,,
"Atarka, World Render",Fate Reforged,35,Near Mint,Rare,$.050,$0.55,$1.750,$19.25,,,
Atarka's Command,Dragons of Tarkir,1,Near Mint,Rare,$3.000,$5.75,$3.000,$5.75,,,
"Athreos, God of Passage",Journey into Nyx,8,Near Mint,MythicRare,$5.750,$11.25,$46.000,$90.00,,,
Atog,Revised Edition,6,Near Mint,Common,$.003,$0.15,$.018,$0.90,,,
Aura Blast,Planeshift,7,Near Mint,Common,$.003,$0.15,$.021,$1.05,,,
Aura Flux,Urza's Legacy,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Aura Fracture,Prophecy,6,Near Mint,Common,$.003,$0.10,$.018,$0.60,,,
Aura Mutation,Invasion,1,Near Mint,Rare,$.100,$1.75,$.100,$1.75,,,
Aura of Silence,Weatherlight,1,Near Mint,Uncommon,$.250,$1.50,$.250,$1.50,,,
Aura Shards,Invasion,1,Near Mint,Uncommon,$3.000,$5.75,$3.000,$5.75,,,
"Aurelia, the Warleader",Gatecrash,2,Near Mint,MythicRare,$2.250,$4.25,$4.500,$8.50,,,
Aurelia's Fury,Gatecrash,16,Near Mint,MythicRare,$.250,$1.00,$4.000,$16.00,,,
Aurochs,Ice Age,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Aurora Griffin,Planeshift,8,Near Mint,Common,$.003,$0.10,$.024,$0.80,,,
Austere Command,Lorwyn,1,Near Mint,Rare,$5.250,$10.50,$5.250,$10.50,,,
"Avacyn, Angel of Hope",Avacyn Restored,2,Near Mint,Rare,$14.750,$24.75,$29.500,$49.50,,,
"Avacyn, Guardian Angel",Magic 2015 Core Set,12,Near Mint,MythicRare,$.250,$0.65,$3.000,$7.80,,,
Avacyn's Judgment,Shadows over Innistrad,19,Near Mint,Rare,$.050,$0.65,$.950,$12.35,,,
Avalanche Riders,Urza's Legacy,1,Near Mint,Uncommon,$.250,$1.25,$.250,$1.25,,,
Avalanche Tusker,Khans of Tarkir,29,Near Mint,Rare,$.050,$0.30,$1.450,$8.70,,,
Avarice Amulet,Magic 2015 Core Set,2,Near Mint,Rare,$.050,$0.15,$.100,$0.30,,,
Avaricious Dragon,Magic Origins,12,Near Mint,MythicRare,$.250,$1.50,$3.000,$18.00,,,
Avatar of Might,Prophecy,1,Near Mint,Rare,$.050,$0.65,$.050,$0.65,,,
Avatar of the Resolute,Dragons of Tarkir,67,Near Mint,Rare,$.100,$1.00,$6.700,$67.00,,,
Avatar of Will,Prophecy,1,Near Mint,Rare,$.050,$0.65,$.050,$0.65,,,
Avatar of Woe,Prophecy,2,Near Mint,Rare,$.750,$3.00,$1.500,$6.00,,,
Aven Mindcensor,Future Sight,1,Near Mint,Uncommon,$5.250,$10.50,$5.250,$10.50,,,
Avenger en-Dal,Nemesis,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Avenging Druid,Exodus,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Avizoa,Weatherlight,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Avoid Fate,Legends,2,Near Mint,Common,$.050,$1.00,$.100,$2.00,,,
Awaken the Ancient,Magic 2014 Core Set,12,Near Mint,Rare,$.050,$0.30,$.600,$3.60,,,
Axelrod Gunnarson,Legends,1,Near Mint,Rare,$.500,$2.25,$.500,$2.25,,,
"Ayli, Eternal Pilgrim",Oath of the Gatewatch,44,Near Mint,Rare,$.100,$1.00,$4.400,$44.00,,,
Aysen Abbey,Homelands,6,Near Mint,Uncommon,$.003,$0.15,$.018,$0.90,,,
Aysen Bureaucrats,Homelands,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Azimaet Drake,Mirage,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Azor's Elocutors,Return to Ravnica,52,Near Mint,Rare,$.050,$0.30,$2.600,$15.60,,,
Back from the Brink,Innistrad,40,Near Mint,Rare,$.050,$0.30,$2.000,$12.00,,,
Backfire,Legends,1,Near Mint,Uncommon,$.003,$0.50,$.003,$0.50,,,
Backlash,Invasion,2,Near Mint,Uncommon,$.003,$0.50,$.006,$1.00,,,
Badlands,Revised Edition,1,Near Mint,Rare,$43.500,$72.38,$43.500,$72.38,,,
Badlands,Revised Edition,1,Good (Lightly Played),Rare,$47.000,$78.25,$47.000,$78.25,,,
Badlands,Revised Edition,3,Played,Rare,$40.000,$66.51,$120.000,$199.54,,,
Balance,Revised Edition,2,Near Mint,Rare,$.100,$1.25,$.200,$2.50,,,
Balduvian Conjurer,Ice Age,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Balduvian Horde,Classic Sixth Edition,1,Near Mint,Rare,$.050,$0.45,$.050,$0.45,,,
Balduvian Shaman,Ice Age,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Balduvian Trading Post,Alliances,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Ball Lightning,The Dark,1,Played,Rare,$1.000,$4.04,$1.000,$4.04,,,
Ballista Squad,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Balloon Peddler,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Balm of Restoration,Fallen Empires,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Bandage,Stronghold,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Baneslayer Angel,Magic 2010,1,Near Mint,MythicRare,$5.000,$9.75,$5.000,$9.75,,,
Baneslayer Angel,Magic 2011,2,Near Mint,MythicRare,$5.000,$9.75,$10.000,$19.50,,,
Banshee,The Dark,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Banshee,The Dark,2,Good (Lightly Played),Uncommon,$.003,$0.15,$.006,$0.30,,,
Barbed Field,Prophecy,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Barbed Sextant,Ice Age,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Barbed Wire,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Barl's Cage,The Dark,2,Good (Lightly Played),Rare,$.050,$0.45,$.100,$0.90,,,
Barrage Tyrant,Battle for Zendikar,28,Near Mint,Rare,$.050,$0.15,$1.400,$4.20,,,
Barrin's Unmaking,Invasion,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Barrow Ghoul,Weatherlight,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Basal Thrull,Fallen Empires,3,Near Mint,Common,$.003,$0.15,$.009,$0.45,,,
Basal Thrull,Fallen Empires,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Basal Thrull,Fallen Empires,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
