Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Rarity,Price
2,0,Aether Barrier,Nemesis,27,Near Mint,English,,,,,,,,,Rare,$0.37
7,0,Aether Mutation,Apocalypse,91,Near Mint,English,,,,,,,,,Uncommon,$0.23
1,0,Aether Tide,Exodus,27,Near Mint,English,,,,,,,,,Common,$0.15
33,8,Aetherling,Dragon's Maze,11,Near Mint,English,,,,,,,,0,Rare,$0.61
28,8,Aetherspouts,Magic 2015 Core Set,44,Near Mint,English,,,,,,,,0,Rare,$0.53
2,0,Afterlife,Mirage,205,Near Mint,English,,,,,,,,,Uncommon,$0.20
1,0,Afterlife,Mercadian Masques,1,Near Mint,English,,,,,,,,,Uncommon,$0.19
4,0,Agent of Shauku,Prophecy,55,Near Mint,English,,,,,,,,,Common,$0.14
50,8,Agent of the Fates,Theros,76,Near Mint,English,,,,,,,,25,Rare,$0.30
9,8,Aggressive Mining,Magic 2015 Core Set,127,Near Mint,English,,,,,,,,25,Rare,$0.26
4,0,Aggressive Urge,Invasion,181,Near Mint,English,,,,,,,,,Common,$0.14
4,0,Agonizing Demise,Invasion,92,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Agonizing Memories,Weatherlight,2,Near Mint,English,,,,,,,,,Uncommon,$0.21
13,0,Air Bladder,Nemesis,28,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Air Elemental,Revised Edition,47,Near Mint,English,,,,,,,,,Uncommon,$0.16
1,0,Aisling Leprechaun,Legends,87,Near Mint,English,,,,,,,,,Common,$0.26
13,8,Ajani's Chosen,Magic 2014 Core Set,2,Near Mint,English,,,,,,,,25,Rare,$0.34
4,4,"Ajani, Caller of the Pride",Magic 2013,1,Near Mint,English,,,,,,,,525,MythicRare,$5.14
4,4,"Ajani, Mentor of Heroes",Journey into Nyx,145,Near Mint,English,,,,,,,,1250,MythicRare,$12.69
36,8,Akoum Firebird,Battle for Zendikar,138,Near Mint,English,,,,,,,,50,MythicRare,$0.61
35,8,Akoum Hellkite,Battle for Zendikar,139,Near Mint,English,,,,,,,,25,Rare,$0.27
40,8,Akroan Horse,Theros,210,Near Mint,English,,,,,,,,25,Rare,$0.24
1,0,Alabaster Potion,Legends,171,Good (Lightly Played),English,,,,,,,,,Common,$0.20
1,0,Alabaster Potion,Fourth Edition,251,Near Mint,English,,,,,,,,,Common,$0.15
4,0,Alabaster Wall,Mercadian Masques,2,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Aladdin's Lamp,Revised Edition,231,Near Mint,English,,,,,,,,,Rare,$0.33
1,0,Albino Troll,Urza's Saga,231,Near Mint,English,,,,,,,,,Uncommon,$0.30
4,4,Alchemist's Refuge,Avacyn Restored,225,Near Mint,English,,,,,,,,100,Rare,$0.98
1,0,Alchor's Tomb,Legends,214,Good (Lightly Played),English,,,,,,,,,Rare,$3.62
1,0,Aleatory,Mirage,155,Near Mint,English,,,,,,,,,Uncommon,$0.21
36,8,"Alesha, Who Smiles at Death",Fate Reforged,90,Near Mint,English,,,,,,,,50,Rare,$0.39
4,0,Alexi's Cloak,Prophecy,29,Near Mint,English,,,,,,,,,Common,$0.21
1,0,"Alexi, Zephyr Mage",Prophecy,28,Near Mint,English,,,,,,,,,Rare,$0.44
1,1,Alhammarret's Archive,Magic Origins,221,Near Mint,English,,,,,,,,425,MythicRare,$4.31
33,8,"Alhammarret, High Arbiter",Magic Origins,43,Near Mint,English,,,,,,,,25,Rare,$0.30
64,8,Aligned Hedron Network,Battle for Zendikar,222,Near Mint,English,,,,,,,,25,Rare,$0.39
3,0,Allay,Exodus,1,Near Mint,English,,,,,,,,,Common,$0.19
4,0,Alley Grifters,Mercadian Masques,115,Near Mint,English,,,,,,,,,Common,$0.16
1,0,Allied Strategies,Planeshift,20,Near Mint,English,,,,,,,,,Uncommon,$0.20
64,8,Ally Encampment,Battle for Zendikar,228,Near Mint,English,,,,,,,,75,Rare,$0.93
37,8,Alms Beast,Gatecrash,141,Near Mint,English,,,,,,,,25,Rare,$0.25
30,8,Alpha Brawl,Dark Ascension,82,Near Mint,English,,,,,,,,25,Rare,$0.32
3,0,Alpha Kavu,Planeshift,77,Near Mint,English,,,,,,,,,Uncommon,$0.18
9,8,Altar of the Brood,Khans of Tarkir,216,Near Mint,English,,,,,,,,50,Rare,$0.47
31,8,Altered Ego,Shadows over Innistrad,241,Near Mint,English,,,,,,,,25,Rare,$0.36
3,3,Aluren,Tempest,107,Near Mint,English,,,,,,,,1475,Rare,$13.89
30,8,Always Watching,Shadows over Innistrad,1,Near Mint,English,,,,,,,,200,Rare,$2.09
1,0,Ambush Party,Homelands,80,Near Mint,English,,,,,,,,,Common,$0.17
1,0,Amnesia,The Dark,19,Good (Lightly Played),English,,signed,,,,,,,Uncommon,$0.64
1,0,Amnesia,The Dark,19,Near Mint,English,,,,,,,,,Uncommon,$0.64
5,0,Amphibious Kavu,Planeshift,78,Near Mint,English,,,,,,,,,Common,$0.14
4,0,Amrou Kithkin,Legends,172,Near Mint,English,,,,,,,,,Common,$0.19
1,0,Amrou Kithkin,Fourth Edition,252,Near Mint,English,,,,,,,,,Common,$0.15
1,0,Amulet of Kroog,Antiquities,1,Played,English,,,,,,,,,Common,$0.19
1,0,Amulet of Unmaking,Mirage,258,Near Mint,English,,,,,,,,,Rare,$0.33
4,0,An-Havva Township,Homelands,136,Near Mint,English,,,,,,,,,Uncommon,$0.20
4,0,Ana Disciple,Apocalypse,73,Near Mint,English,,,,,,,,,Common,$0.14
7,0,Ana Sanctuary,Apocalypse,74,Near Mint,English,,,,,,,,,Uncommon,$0.18
1,0,Anaba Bodyguard,Classic Sixth Edition,164,Near Mint,English,,,,,,,,,Common,$0.15
1,0,Anaba Shaman,Homelands,85,Near Mint,English,,,,,,,,,Common,$0.15
1,0,Anaba Shaman,Classic Sixth Edition,165,Near Mint,English,,,,,,,,,Common,$0.14
31,8,"Anafenza, Kin-Tree Spirit",Dragons of Tarkir,2,Near Mint,English,,,,,,,,200,Rare,$2.08
44,8,"Anafenza, the Foremost",Khans of Tarkir,163,Near Mint,English,,,,,,,,175,MythicRare,$1.68
1,0,Anarchist,Exodus,79,Near Mint,English,,,,,,,,,Common,$0.15
30,8,Anax and Cymede,Theros,186,Near Mint,English,,,,,,,,25,Rare,$0.28
4,0,Ancestral Mask,Mercadian Masques,229,Near Mint,English,,,,,,,,,Common,$0.74
1,1,Ancestral Vision,Duel Decks: Jace vs. Chandra,21,Near Mint,Japanese,,,,,,,,5434,Rare,$47.96
2,0,Ancient Hydra,Nemesis,76,Near Mint,English,,,,,,,,,Uncommon,$0.21
4,0,Ancient Kavu,Invasion,136,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Ancient Spider,Planeshift,96,Near Mint,English,,,,,,,,,Rare,$0.34
8,0,Ancient Spring,Invasion,319,Near Mint,English,,,,,,,,,Common,$0.17
14,8,Angel of Deliverance,Shadows over Innistrad,2,Near Mint,English,,,,,,,,25,Rare,$0.27
44,8,Angel of Flight Alabaster,Innistrad,2,Near Mint,English,,,,,,,,25,Rare,$0.32
28,8,Angel of Glory's Rise,Avacyn Restored,1,Near Mint,English,,,,,,,,25,Rare,$0.33
1,0,Angel of Mercy,Invasion,2,Near Mint,English,,,,,,,,,Uncommon,$0.20
15,8,Angel of Serenity,Return to Ravnica,1,Near Mint,English,,,,,,,,125,MythicRare,$1.47
1,0,Angel's Trumpet,Urza's Legacy,121,Near Mint,English,,,,,,,,,Uncommon,$0.26
5,0,Angelfire Crusader,Apocalypse,1,Near Mint,English,,,,,,,,,Common,$0.14
44,8,Angelic Captain,Battle for Zendikar,208,Near Mint,English,,,,,,,,25,Rare,$0.27
2,0,Angelic Curator,Urza's Legacy,1,Near Mint,English,,,,,,,,,Common,$0.16
4,0,Angelic Favor,Nemesis,1,Near Mint,English,,,,,,,,,Uncommon,$0.21
1,1,Angelic Overseer,Innistrad,3,Near Mint,English,,,,,,,,225,MythicRare,$2.25
1,0,Angelic Page,Urza's Saga,4,Near Mint,English,,,,,,,,,Common,$0.16
8,8,Angelic Skirmisher,Gatecrash,3,Near Mint,English,,,,,,,,75,Rare,$0.73
32,8,Anger of the Gods,Theros,112,Near Mint,English,,,,,,,,225,Rare,$2.24
2,0,Angry Mob,The Dark,74,Near Mint,English,,,,,,,,,Uncommon,$0.23
17,8,Anguished Unmaking,Shadows over Innistrad,242,Near Mint,English,,,,,,,,200,Rare,$2.12
1,1,"Animar, Soul of Elements",Commander,181,Near Mint,English,,,,,,,,2400,MythicRare,$23.69
1,0,Animate Artifact,Revised Edition,48,Near Mint,English,,,,,,,,,Uncommon,$0.18
3,0,Animate Dead,Revised Edition,1,Near Mint,English,,,,,,,,,Uncommon,$1.14
4,0,Animate Land,Nemesis,101,Near Mint,English,,,,,,,,,Uncommon,$0.23
34,8,Animist's Awakening,Magic Origins,169,Near Mint,English,,,,,,,,75,Rare,$0.98
4,0,Ankh of Mishra,Revised Edition,233,Near Mint,English,,,,,,,,,Rare,$0.52
1,0,Ankh of Mishra,Classic Sixth Edition,273,Near Mint,English,,,,,,,,,Rare,$0.80
35,8,Ankle Shanker,Khans of Tarkir,164,Near Mint,English,,,,,,,,25,Rare,$0.27
3,0,Annihilate,Invasion,94,Near Mint,English,,,,,,,,,Uncommon,$0.20
2,0,Annul,Urza's Saga,59,Near Mint,English,,,,,,,,,Common,$0.16
56,8,"Anthousa, Setessan Hero",Theros,149,Near Mint,English,,,,,,,,25,Rare,$0.23
1,0,Anti-Magic Aura,Legends,45,Near Mint,English,,,,,,,,,Common,$0.21
1,0,Apathy,Weatherlight,33,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Apprentice Necromancer,Urza's Destiny,51,Near Mint,English,,,,,,,,,Rare,$1.45
1,0,Apprentice Wizard,The Dark,20,Good (Lightly Played),English,,,,,,,,,Rare,$1.03
1,0,Apprentice Wizard,Fourth Edition,61,Near Mint,English,,,,,,,,,Common,$0.17
8,8,Arachnus Spinner,Magic 2012,162,Near Mint,English,,,,,,,,25,Rare,$0.26
27,8,Arashin Foremost,Dragons of Tarkir,3,Near Mint,English,,,,,,,,50,Rare,$0.61
28,8,Arashin Sovereign,Dragons of Tarkir,212,Near Mint,English,,,,,,,,25,Rare,$0.32
19,8,Arbiter of the Ideal,Born of the Gods,31,Near Mint,English,,,,,,,,25,Rare,$0.26
47,8,Arbor Colossus,Theros,150,Near Mint,English,,,,,,,,25,Rare,$0.25
2,0,Arboria,Legends,88,Good (Lightly Played),English,,,,,,,,,Uncommon,$8.85
1,0,Arc Lightning,Urza's Saga,174,Near Mint,English,,,,,,,,,Common,$0.16
5,0,Arc Mage,Nemesis,77,Near Mint,English,,,,,,,,,Uncommon,$0.20
38,8,Arcane Melee,Avacyn Restored,44,Near Mint,English,,,,,,,,25,Rare,$0.30
33,8,Arcbond,Fate Reforged,91,Near Mint,English,,,,,,,,25,Rare,$0.25
2,2,Arcbound Ravager,Darksteel,100,Good (Lightly Played),English,,,,,,,,4163,Rare,$44.14
5,0,Archaeological Dig,Invasion,320,Near Mint,English,,,,,,,,,Uncommon,$0.31
2,2,Archangel Avacyn,Shadows over Innistrad,5,Near Mint,English,,,,,,,,2200,MythicRare,$21.16
1,1,Archangel of Thune,Magic 2014 Core Set,5,Near Mint,English,,,,,,,,2325,MythicRare,$24.12
7,7,Archangel of Tithes,Magic Origins,4,Near Mint,English,,,,,,,,550,MythicRare,$5.69
13,8,Archangel's Light,Dark Ascension,1,Near Mint,English,,,,,,,,75,MythicRare,$0.84
23,8,Archfiend of Depravity,Fate Reforged,62,Near Mint,English,,,,,,,,50,Rare,$0.59
9,8,Archon of Justice,Magic 2012,6,Near Mint,English,,,,,,,,25,Rare,$0.32
76,8,Archon of the Triumvirate,Return to Ravnica,142,Near Mint,English,,,,,,,,25,Rare,$0.26
32,8,Archwing Dragon,Avacyn Restored,126,Near Mint,English,,,,,,,,50,Rare,$0.42
1,0,Arctic Foxes,Ice Age,226,Near Mint,English,,,,,,,,,Common,$0.14
9,0,Arctic Merfolk,Planeshift,21,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Arcum's Sleigh,Ice Age,284,Near Mint,English,,,,,,,,,Uncommon,$0.17
1,0,Arcum's Whistle,Ice Age,286,Near Mint,English,,,,,,,,,Uncommon,$0.19
4,0,Ardent Soldier,Invasion,3,Near Mint,English,,,,,,,,,Common,$0.15
4,0,Arena,Media Inserts,1,Near Mint,English,,,,,,,,,Special,$1.34
1,0,Arena of the Ancients,Legends,215,Good (Lightly Played),English,,,,,,,,,Rare,$5.47
10,8,Argent Sphinx,Scars of Mirrodin,28,Near Mint,English,,,,,,,,25,Rare,$0.26
1,1,Argivian Archaeologist,Antiquities,94,Near Mint,English,,,,,,,,1750,Rare,$17.87
1,0,Argivian Blacksmith,Antiquities,95,Near Mint,English,,,,,,,,,Common,$0.20
1,0,Argothian Pixies,Antiquities,59,Played,English,,,,,,,,,Common,$0.20
1,0,Argothian Swine,Urza's Saga,235,Near Mint,English,,,,,,,,,Common,$0.15
2,0,Argothian Treefolk,Antiquities,60,Played,English,,,,,,,,,Common,$0.20
1,0,Argothian Treefolk,Antiquities,60,Near Mint,English,,,,,,,,,Common,$0.20
1,0,Argothian Wurm,Urza's Saga,236,Near Mint,English,,,,,,,,,Rare,$1.05
8,8,Arlinn Kord,Shadows over Innistrad,243,Near Mint,English,,,,,,,,1150,MythicRare,$11.31
23,8,Armada Wurm,Return to Ravnica,143,Near Mint,English,,,,,,,,100,MythicRare,$0.98
5,0,Armadillo Cloak,Invasion,229,Near Mint,English,,,,,,,,,Common,$0.46
1,0,Armageddon Clock,Revised Edition,234,Near Mint,English,,,,,,,,,Rare,$0.30
1,0,Armageddon Clock,Fourth Edition,313,Near Mint,English,,,,,,,,,Rare,$0.29
2,0,Armor of Faith,Ice Age,228,Near Mint,English,,,,,,,,,Common,$0.14
2,0,Armor of Thorns,Mirage,104,Near Mint,English,,,,,,,,,Common,$0.14
7,0,Armor Thrull,Fallen Empires,1,Near Mint,English,,,,,,,,,Common,$0.14
4,0,Armor Thrull,Fallen Empires,2,Near Mint,English,,,,,,,,,Common,$0.17
4,0,Armor Thrull,Fallen Empires,3,Near Mint,English,,,,,,,,,Common,$0.17
5,0,Armor Thrull,Fallen Empires,4,Near Mint,English,,,,,,,,,Common,$0.17
1,0,Armored Pegasus,Classic Sixth Edition,5,Near Mint,English,,,,,,,,,Common,$0.15
1,0,Armorer Guildmage,Mirage,156,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Arms Dealer,Mercadian Masques,172,Near Mint,English,,,,,,,,,Uncommon,$0.23
1,0,Army Ants,Visions,126,Near Mint,English,,,,,,,,,Uncommon,$0.19
3,3,Army of the Damned,Innistrad,87,Near Mint,English,,,,,,,,250,MythicRare,$2.53
1,0,Arrest,Mercadian Masques,4,Near Mint,English,,,,,,,,,Uncommon,$0.20
4,0,Artifact Blast,Antiquities,87,Near Mint,English,,,,,,,,,Common,$0.29
2,0,Artifact Mutation,Invasion,231,Near Mint,English,,,,,,,,,Rare,$2.04
1,0,Artifact Possession,Antiquities,45,Good (Lightly Played),English,,,,,,,,,Common,$0.19
2,0,Artifact Possession,Antiquities,45,Near Mint,English,,,,,,,,,Common,$0.19
1,0,Artifact Ward,Antiquities,96,Good (Lightly Played),English,,,,,,,,,Common,$0.21
3,0,Artifact Ward,Antiquities,96,Near Mint,English,,,,,,,,,Common,$0.21
60,8,Artisan of Forms,Theros,40,Near Mint,English,,,,,,,,25,Rare,$0.25
2,0,Ascendant Evincar,Nemesis,51,Near Mint,English,,,,,,,,,Rare,$1.01
2,2,Asceticism,Scars of Mirrodin,110,Near Mint,English,,,,,,,,950,Rare,$9.47
32,8,Ash Zealot,Return to Ravnica,86,Near Mint,English,,,,,,,,50,Rare,$0.62
11,8,Ashcloud Phoenix,Khans of Tarkir,99,Near Mint,English,,,,,,,,75,MythicRare,$0.68
1,0,Ashen Ghoul,Ice Age,2,Near Mint,English,,,,,,,,,Uncommon,$0.32
27,8,Ashen Rider,Theros,187,Near Mint,English,,,,,,,,125,MythicRare,$1.16
5,0,Ashes to Ashes,The Dark,1,Near Mint,English,,,,,,,,,Common,$0.27
1,1,"Ashiok, Nightmare Weaver",Theros,188,Near Mint,English,,,,,,,,700,MythicRare,$7.27
1,0,Ashnod's Altar,Antiquities,3,Good (Lightly Played),English,,,,,,,,,Uncommon,$11.26
1,0,Ashnod's Transmogrant,Antiquities,5,Near Mint,English,,,,,,,,,Uncommon,$0.39
1,0,Assault // Battery,Invasion,295,Near Mint,English,,,,,,,,,Uncommon,$0.18
27,8,Assault Formation,Dragons of Tarkir,173,Near Mint,English,,,,,,,,125,Rare,$1.34
16,8,Assemble the Legion,Gatecrash,142,Near Mint,English,,,,,,,,150,Rare,$1.49
24,8,Astral Cornucopia,Born of the Gods,157,Near Mint,English,,,,,,,,50,Rare,$0.36
9,8,Asylum Visitor,Shadows over Innistrad,99,Near Mint,English,,,,,,,,100,Rare,$1.17
1,0,"Atalya, Samite Master",Invasion,4,Near Mint,English,,,,,,,,,Rare,$0.55
1,1,Atarka's Command,Dragons of Tarkir,213,Near Mint,English,,,,,,,,600,Rare,$6.39
35,8,"Atarka, World Render",Fate Reforged,149,Near Mint,English,,,,,,,,50,Rare,$0.55
8,8,"Athreos, God of Passage",Journey into Nyx,146,Near Mint,English,,,,,,,,1125,MythicRare,$12.25
6,0,Atog,Revised Edition,138,Near Mint,English,,,,,,,,,Common,$0.18
7,0,Aura Blast,Planeshift,1,Near Mint,English,,,,,,,,,Common,$0.16
2,0,Aura Flux,Urza's Legacy,27,Near Mint,English,,,,,,,,,Common,$0.15
6,0,Aura Fracture,Prophecy,2,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Aura Mutation,Invasion,232,Near Mint,English,,,,,,,,,Rare,$1.62
1,0,Aura of Silence,Weatherlight,123,Near Mint,English,,,,,,,,,Uncommon,$1.41
1,0,Aura Shards,Invasion,233,Near Mint,English,,,,,,,,,Uncommon,$5.77
16,8,Aurelia's Fury,Gatecrash,144,Near Mint,English,,,,,,,,125,MythicRare,$1.13
2,2,"Aurelia, the Warleader",Gatecrash,143,Near Mint,English,,,,,,,,425,MythicRare,$4.41
1,0,Aurochs,Ice Age,113,Near Mint,English,,,,,,,,,Common,$0.15
8,0,Aurora Griffin,Planeshift,2,Near Mint,English,,,,,,,,,Common,$0.14
1,1,Austere Command,Lorwyn,3,Near Mint,English,,,,,,,,1075,Rare,$10.31
19,8,Avacyn's Judgment,Shadows over Innistrad,145,Near Mint,English,,,,,,,,75,Rare,$0.73
2,2,"Avacyn, Angel of Hope",Avacyn Restored,6,Near Mint,English,,,,,,,,2525,MythicRare,$25.65
12,8,"Avacyn, Guardian Angel",Magic 2015 Core Set,3,Near Mint,English,,,,,,,,50,Rare,$0.62
1,0,Avalanche Riders,Urza's Legacy,74,Near Mint,English,,,,,,,,,Uncommon,$1.21
29,8,Avalanche Tusker,Khans of Tarkir,166,Near Mint,English,,,,,,,,25,Rare,$0.26
2,2,Avarice Amulet,Magic 2015 Core Set,212,Near Mint,English,,,,,,,,25,Rare,$0.23
12,8,Avaricious Dragon,Magic Origins,131,Near Mint,English,,,,,,,,150,MythicRare,$1.59
1,0,Avatar of Might,Prophecy,109,Near Mint,English,,,,,,,,,Rare,$0.60
67,8,Avatar of the Resolute,Dragons of Tarkir,175,Near Mint,English,,,,,,,,100,Rare,$1.09
1,0,Avatar of Will,Prophecy,30,Near Mint,English,,,,,,,,,Rare,$0.64
2,0,Avatar of Woe,Prophecy,56,Near Mint,English,,,,,,,,,Rare,$3.22
1,1,Aven Mindcensor,Future Sight,18,Near Mint,English,,,,,,,,1050,Uncommon,$10.67
1,0,Avenger en-Dal,Nemesis,2,Near Mint,English,,,,,,,,,Rare,$0.35
1,0,Avenging Druid,Exodus,105,Near Mint,English,,,,,,,,,Common,$0.15
1,0,Avizoa,Weatherlight,35,Near Mint,English,,,,,,,,,Rare,$0.33
2,0,Avoid Fate,Legends,89,Near Mint,English,,,,,,,,,Common,$1.36
12,8,Awaken the Ancient,Magic 2014 Core Set,126,Near Mint,English,,,,,,,,25,Rare,$0.31
1,0,Axelrod Gunnarson,Legends,259,Near Mint,English,,,,,,,,,Rare,$2.67
44,8,"Ayli, Eternal Pilgrim",Oath of the Gatewatch,151,Near Mint,English,,,,,,,,100,Rare,$1.09
6,0,Aysen Abbey,Homelands,137,Near Mint,English,,,,,,,,,Uncommon,$0.20
1,0,Aysen Bureaucrats,Homelands,104,Near Mint,English,,,,,,,,,Common,$0.17
1,0,Azimaet Drake,Mirage,53,Near Mint,English,,,,,,,,,Common,$0.14
52,8,Azor's Elocutors,Return to Ravnica,210,Near Mint,English,,,,,,,,25,Rare,$0.26
40,8,Back from the Brink,Innistrad,44,Near Mint,English,,,,,,,,25,Rare,$0.26
1,0,Backfire,Legends,47,Near Mint,English,,,,,,,,,Uncommon,$0.48
2,0,Backlash,Invasion,234,Near Mint,English,,,,,,,,,Uncommon,$0.43
1,0,Badlands,Revised Edition,282,Near Mint,English,,,,,,,,,Rare,$75.21
1,0,Badlands,Revised Edition,282,Good (Lightly Played),English,,,,,,,,,Rare,$75.21
3,0,Badlands,Revised Edition,282,Played,English,,,,,,,,,Rare,$75.21
2,0,Balance,Revised Edition,187,Near Mint,English,,,,,,,,,Rare,$1.41
1,0,Balduvian Conjurer,Ice Age,58,Near Mint,English,,,,,,,,,Uncommon,$0.17
1,0,Balduvian Horde,Classic Sixth Edition,167,Near Mint,English,,,,,,,,,Rare,$0.41
1,0,Balduvian Shaman,Ice Age,59,Near Mint,English,,,,,,,,,Common,$0.13
1,0,Balduvian Trading Post,Alliances,182,Near Mint,English,,,,,,,,,Rare,$0.36
1,0,Ball Lightning,The Dark,56,Played,English,,,,,,,,,Rare,$5.66
1,0,Ballista Squad,Mercadian Masques,5,Near Mint,English,,,,,,,,,Uncommon,$0.17
4,0,Balloon Peddler,Mercadian Masques,59,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Balm of Restoration,Fallen Empires,167,Near Mint,English,,,,,,,,,Rare,$0.29
2,0,Bandage,Stronghold,101,Near Mint,English,,,,,,,,,Common,$0.15
1,1,Baneslayer Angel,Magic 2010,4,Near Mint,English,,,,,,,,975,MythicRare,$10.02
2,2,Baneslayer Angel,Magic 2011,7,Near Mint,English,,,,,,,,1000,MythicRare,$10.16
2,0,Banshee,The Dark,2,Near Mint,English,,,,,,,,,Uncommon,$0.20
1,0,Banshee,The Dark,2,Good (Lightly Played),English,,,,,,,,,Uncommon,$0.20
2,0,Barbed Field,Prophecy,83,Near Mint,English,,,,,,,,,Uncommon,$0.20
2,0,Barbed Sextant,Ice Age,287,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Barbed Wire,Mercadian Masques,287,Near Mint,English,,,,,,,,,Uncommon,$0.19
2,0,Barl's Cage,The Dark,93,Good (Lightly Played),English,,,,,,,,,Rare,$0.42
28,8,Barrage Tyrant,Battle for Zendikar,127,Near Mint,English,,,,,,,,25,Rare,$0.24
4,0,Barrin's Unmaking,Invasion,46,Near Mint,English,,,,,,,,,Common,$0.14
1,0,Barrow Ghoul,Weatherlight,3,Near Mint,English,,,,,,,,,Common,$0.14
3,0,Basal Thrull,Fallen Empires,5,Near Mint,English,,,,,,,,,Common,$0.18
4,0,Basal Thrull,Fallen Empires,6,Near Mint,English,,,,,,,,,Common,$0.18
6,0,Basal Thrull,Fallen Empires,7,Near Mint,English,,,,,,,,,Common,$0.18
4,0,Basal Thrull,Fallen Empires,8,Near Mint,English,,,,,,,,,Common,$0.17
1,0,Basalt Monolith,Revised Edition,235,Near Mint,English,,,,,,,,,Uncommon,$0.90
1,0,Baton of Morale,Ice Age,288,Near Mint,English,,,,,,,,,Uncommon,$0.21
1,0,Battering Ram,Antiquities,6,Good (Lightly Played),English,,,,,,,,,Common,$0.19
1,0,Battering Ram,Fourth Edition,315,Near Mint,English,,,,,,,,,Common,$0.14
2,0,Battle Frenzy,Ice Age,175,Near Mint,English,,,,,,,,,Common,$0.14
39,8,Battle of Wits,Magic 2013,44,Near Mint,English,,,,,,,,25,Rare,$0.30
5,0,Battle Rampart,Mercadian Masques,173,Near Mint,English,,,,,,,,,Common,$0.14
9,8,Battlefield Forge,Magic 2015 Core Set,240,Near Mint,English,,,,,,,,150,Rare,$1.63
31,8,Battlefield Forge,Magic Origins,244,Near Mint,English,,,,,,,,125,Rare,$1.49
3,0,Battlefield Percher,Nemesis,52,Near Mint,English,,,,,,,,,Uncommon,$0.21
